"Method","Time (ms)","Own Time (ms)"
"java.lang.Thread.run() Thread.java","566130","26"
"io.grpc.netty.shaded.io.netty.channel.epoll.EpollEventLoop.run() EpollEventLoop.java","334252","0"
"io.grpc.netty.shaded.io.netty.util.concurrent.FastThreadLocalRunnable.run() FastThreadLocalRunnable.java","334252","0"
"io.grpc.netty.shaded.io.netty.util.concurrent.SingleThreadEventExecutor$5.run() SingleThreadEventExecutor.java","334252","0"
"io.grpc.netty.shaded.io.netty.util.internal.ThreadExecutorMap$2.run() ThreadExecutorMap.java","334252","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.EpollEventLoop.epollWait() EpollEventLoop.java","332969","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.Native.epollWait(FileDescriptor, EpollEventArray, FileDescriptor, int, int) Native.java","332969","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.Native.epollWait0(int, long, int, int, int, int) Native.java (native)","332969","332969"
"java.lang.Thread.sleep(long) Thread.java (native)","202885","202885"
"org.apache.ignite.internal.client.thin.TcpClientChannel.lambda$initReceiverThread$0() TcpClientChannel.java","197902","10"
"org.apache.ignite.internal.client.thin.TcpClientChannel$$Lambda$632.run()","197902","0"
"org.apache.ignite.internal.client.thin.TcpClientChannel.processNextMessage() TcpClientChannel.java","197892","0"
"java.lang.ref.Reference$ReferenceHandler.run() Reference.java","197880","197880"
"org.apache.catalina.core.StandardServer.await() StandardServer.java","197880","0"
"org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run() TomcatWebServer.java","197880","0"
"org.apache.ignite.internal.client.thin.TcpClientChannel$ByteCountingDataInput.read(byte[], int) TcpClientChannel.java","197168","10"
"java.net.SocketInputStream.read(byte[], int, int) SocketInputStream.java","197157","197157"
"org.apache.ignite.internal.client.thin.TcpClientChannel$ByteCountingDataInput.readInt() TcpClientChannel.java","171678","0"
"java.util.concurrent.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","33928","20"
"io.grpc.internal.ContextRunnable.run() ContextRunnable.java","33907","0"
"io.grpc.internal.SerializingExecutor.run() SerializingExecutor.java","33907","0"
